



100,basis,psnr_ave,ent_ave,area_num



90,basis,psnr_ave,ent_ave,area_num



80,basis,psnr_ave,ent_ave,area_num



70,basis,psnr_ave,ent_ave,area_num
,5,0.374971,0.000208,1
,14,0.327840,0.000046,1
,17,0.198397,0.000064,1
,24,0.200661,0.000111,1
,25,0.315115,0.000282,1
,28,0.019876,-0.000010,1
,46,0.555535,0.000086,1
,56,0.200776,0.000225,1
,57,0.323345,0.000073,1



60,basis,psnr_ave,ent_ave,area_num
,5,1.035445,0.000276,2
,7,0.035343,0.000288,1
,14,0.231618,0.000036,1
,17,0.127297,0.000042,1
,19,0.769069,0.000168,1
,24,0.019818,0.000140,1
,25,1.222995,0.000067,1
,28,0.471498,-0.000016,1
,29,0.416348,-0.000016,1
,31,0.160794,0.000071,1
,46,0.322776,0.000133,1
,56,0.132322,0.000152,1
,57,0.510673,0.000065,1



50,basis,psnr_ave,ent_ave,area_num
,5,0.950440,0.000092,2
,7,0.196577,0.000144,1
,18,0.504693,0.000028,1
,19,1.653743,0.000061,1
,24,0.865870,0.000072,2
,25,0.853840,0.000069,1
,28,0.117915,-0.000015,1
,29,0.818375,-0.000016,1
,31,0.319622,0.000118,1
,36,0.162510,0.000025,1
,44,0.013069,0.000078,1
,49,0.132101,0.000143,1
,51,0.280812,0.000033,1
,53,0.507896,0.000095,1
,56,0.457180,0.000148,1
,57,0.548945,0.000234,2



40,basis,psnr_ave,ent_ave,area_num
,0,0.484788,0.000021,1
,3,0.450240,0.000034,1
,5,1.416586,0.000136,2
,7,0.879636,0.000032,1
,14,0.185775,0.000089,1
,18,0.467104,-0.000028,1
,19,2.683569,0.000161,2
,20,0.168311,0.000024,1
,23,0.165943,0.000382,1
,24,1.224613,0.000057,2
,28,0.087210,0.000061,2
,29,0.323369,-0.000017,1
,31,0.733582,0.000039,1
,41,0.644860,0.000255,2
,43,0.162623,0.000152,1
,44,1.345818,0.000211,3
,46,1.018472,0.000145,2
,49,0.437591,0.000133,1
,50,0.256647,0.000089,1
,51,0.109604,0.000034,1
,56,0.626434,0.000138,1
,57,2.239622,0.000472,5
,60,0.182992,-0.000005,1



30,basis,psnr_ave,ent_ave,area_num
,3,0.387197,-0.000018,1
,6,0.390493,0.000644,2
,14,0.058028,0.000123,1
,15,0.842745,0.000049,1
,17,0.336460,-0.000021,1
,18,0.562613,0.000339,2
,19,2.812539,0.000183,3
,21,0.192242,0.000078,1
,23,0.444764,0.000314,1
,24,0.536767,-0.000026,1
,27,0.178061,0.000312,1
,28,0.754938,0.000076,1
,33,0.282875,0.000104,1
,34,0.265093,0.000190,1
,35,0.722603,0.000109,2
,36,0.087849,0.000003,1
,39,0.285960,0.000038,1
,41,1.160651,0.000320,4
,42,0.225217,0.000165,1
,44,2.132958,0.000433,5
,45,0.592591,0.000780,1
,46,0.862919,0.000199,2
,50,0.573035,0.000137,1
,51,0.273811,-0.000022,1
,53,0.283692,0.000036,1
,57,4.345170,0.000680,10



20,basis,psnr_ave,ent_ave,area_num
,0,1.059619,0.000359,1
,1,0.336460,0.000083,1
,3,0.261435,-0.000023,1
,4,0.714176,0.000348,2
